# Design_ID: 3
# Initial_Mass_kg: 26740545.580432
# Final_Mass_Objective_kg: 26431317.620428
# Initial_Surge_Margin: 0.423937
# Final_Surge_Margin: 0.244098
# Initial_Pitch_Margin: 0.606692
# Final_Pitch_Margin: 0.000086
Point_Index,Z_Elevation_m,Init_Diameter_m,Final_Diameter_m,Init_Cum_Mass_tonnes,Final_Cum_Mass_tonnes
0,-100.8025,20.6000,24.2991,24296.2666,24346.2800
1,-89.2223,20.1500,24.3017,24588.8714,24692.7044
2,-77.6420,19.7000,24.3160,24874.0322,25048.6966
3,-66.0618,19.4000,23.0301,25153.9253,25408.7816
4,-54.4815,19.1000,19.5962,25429.4792,25732.1467
5,-42.9013,18.8000,15.5962,25700.6938,25992.5983
6,-31.3210,18.5000,11.5962,25967.5691,26186.0681
7,-19.7408,18.2000,7.5962,26230.1052,26312.0832
8,-8.1605,17.9000,4.0000,26488.3019,26374.9143
9,3.4197,17.6000,4.0000,26740.5456,26431.3176
10,15.0000,17.6000,4.0000,26740.5456,26431.3176
